============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.14-s037_1
  Generated on:           Jun 02 2026  02:06:35 am
  Module:                 top_ti
  Technology libraries:   saed14rvt_tt0p8v25c 
                          saed14rvt_ss0p72v25c 
                          saed14rvt_ff0p88v25c 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                               Module                         Cells  Cell Area  Net Area   Total Area  Wireload     
-------------------------------------------------------------------------------------------------------------------------------------
top_ti                                                                       5591114    2862977         0      2862977    <none> (D) 
    gen_tile[677].u_tile  compute_core_ti_677                                   5308       2706         0         2706    <none> (D) 
    gen_tile[91].u_tile   compute_core_ti_91                                    5310       2706         0         2706    <none> (D) 
    gen_tile[254].u_tile  compute_core_ti_254                                   5311       2706         0         2706    <none> (D) 
    gen_tile[904].u_tile  compute_core_ti_904                                   5322       2706         0         2706    <none> (D) 
    gen_tile[803].u_tile  compute_core_ti_803                                   5313       2706         0         2706    <none> (D) 
    gen_tile[687].u_tile  compute_core_ti_687                                   5322       2706         0         2706    <none> (D) 
    gen_tile[83].u_tile   compute_core_ti_83                                    5311       2706         0         2706    <none> (D) 
    gen_tile[287].u_tile  compute_core_ti_287                                   5325       2706         0         2706    <none> (D) 
    gen_tile[371].u_tile  compute_core_ti_371                                   5310       2706         0         2706    <none> (D) 
    gen_tile[515].u_tile  compute_core_ti_515                                   5310       2706         0         2706    <none> (D) 
    gen_tile[80].u_tile   compute_core_ti_80                                    5310       2706         0         2706    <none> (D) 
    gen_tile[90].u_tile   compute_core_ti_90                                    5318       2706         0         2706    <none> (D) 
    gen_tile[426].u_tile  compute_core_ti_426                                   5318       2706         0         2706    <none> (D) 
    gen_tile[340].u_tile  compute_core_ti_340                                   5310       2706         0         2706    <none> (D) 
    gen_tile[345].u_tile  compute_core_ti_345                                   5310       2706         0         2706    <none> (D) 
    gen_tile[85].u_tile   compute_core_ti_85                                    5311       2706         0         2706    <none> (D) 
    gen_tile[642].u_tile  compute_core_ti_642                                   5310       2706         0         2706    <none> (D) 
    gen_tile[483].u_tile  compute_core_ti_483                                   5311       2706         0         2706    <none> (D) 
    gen_tile[396].u_tile  compute_core_ti_396                                   5310       2706         0         2706    <none> (D) 
    gen_tile[28].u_tile   compute_core_ti_28                                    5310       2706         0         2706    <none> (D) 
    gen_tile[747].u_tile  compute_core_ti_747                                   5311       2706         0         2706    <none> (D) 
